Gregorian Calendar ,Iranian Calendar,Presneter,Subject,Desc,Youtube Link
2024/09/22,1403/07/01,Dr. Ali Eslami,Open Q&A,,
2024/09/29,1403/07/08,Moein Salimi,STaR and V-STaR,,
2024/10/06,1403/07/15,Dr. Marizeh Fadaee,Multilingual LLM,,
2024/10/20,1403/07/29,Moein Salimi,RL and LLM,,
2024/11/04,1403/08/13,Moein Salimi,PEFT,,
2024/11/17,1403/08/27,Moein Salimi,Speculative Decoding and LayerSkip,,
2024/11/24,1403/09/04,Yeganeh Kordi,Self-instruct,,
2024/12/10,1403/09/20,Dr. Shervin Ghasemlou,Bicameral Architecture for Enhancing Safety and Efficiency in LLMs,,
2024/12/15,1403/09/25,Hanie Sartipi,"C-RAG, Self-RAG and RQ-RAG",,
2024/12/29,1403/10/09,Prof. Taha Bahadori,"Scalable attribution of LLMs' behavior: to data sources and neurons
",,
2025/01/05,1403/10/16,Moein Salimi,Reasoning in LLMs: A Survey of ICML 2024 Contributions,,
2025/01/19,1403/10/30,Dr. Mohammadreza Salehi,Molmo and PixMo: Open Weights and Open Data for State-of-the-Art Vision-Language Models,,
2025/02/02,1403/11/14,Dr. Alireza Fathi,"Multi-Modal Agents: Memory, Tool Use and Reasoning",,
2025/02/16,1403/11/28,Dr. Marizeh Fadaee,Aya-Expanse,,
2025/02/26,1403/12/08,Prof. Mohammad Hossein Rohban,DeepSeek-R1,,
2025/03/09,1403/12/19,Dr. Mansooreh Karami,Agentic AI: The New Frontier in Fraud and Fraud Detection,,
2025/03/16,1403/12/26,Prof. Yashar Deldjoo,Recommender System Based on Generative Models,,
2025/04/06,1404/01/17,Romina Etezadi,A systematic cSurvey of Prompting Methods in NLP,,
2025/04/20,1404/01/31,Moein Salimi,"Introducing DAPO Paper:
Lessons Learned from DeepSeek-R1",,
2025/04/28,1404/02/08,Fateme Shahhoseini,"Toward Self-Improvement of LLMs via Imagination, Searching, and Criticizing",,
2025/05/06,1404/02/14,Moein Salimi,Evaluating Theory of Mind in LLMs for Open-Ended Responses,,
2025/05/15,1404/02/23,Moein Salimi,Artifacts or Abduction: How Do LLMs Answer Multiple-Choice Questions Without the Question?,,
2025/05/18,1404/02/29,Dr. Hossein Hajimirsadeghi,Were RNNs All We Needed?,,
2025/05/28,1404/03/07,Moein Salimi,A Survey on Large Language Models for Scientific Research,,
2025/06/04,1404/03/14,Julia Kreutzer,Rethinking Multilingual LLM Evaluation with MT Best Practice,,
2025/06/08,1404/03/18,Mehdi Rezagholizadeh,Reasoning with LLMs Using Test-Time Compute,,
